time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,thrust,normalized_tau_x,normalized_tau_y,normalized_tau_z,normalized_thrust,throttle1,throttle2,throttle3,throttle4
1.0,0.0,0.0,-1.4723232220392999,0.0,0.0,-2.99975450190253,9.619407939010111,-0.3023217503529254,0.1466936995539178,-0.3922722858776314,0.6537144369018084,1.0,1.0,0.1,0.5148577476072336
1.01,0.0,0.0,-1.5026618395613338,0.0,0.0,-3.033861752203385,9.598912454871789,-0.2998837418285815,0.14472368169695254,-0.3938500829847936,0.6523216075346101,1.0,1.0,0.1,0.5092864301384404
1.02,0.0,0.0,-1.5333429222053205,0.0,0.0,-3.068108264398663,9.578023170708263,-0.29739888943307813,0.14271581193678345,-0.395458195869635,0.6509020163580199,1.0,1.0,0.1,0.5036080654320798
1.03,0.0,0.0,-1.5643678898079396,0.0,0.0,-3.102496760261918,9.556725620511802,-0.2948654723849035,0.14066869980644853,-0.39709773816406607,0.6494546802930208,1.0,1.0,0.1,0.49781872117208303
1.04,0.0,0.0,-1.5957381904526,0.0,0.0,-3.137030064466038,9.535004369381971,-0.2922816546494189,0.13858086170940248,-0.3987698980879446,0.6479785504167156,1.0,1.0,0.1,0.4919142016668622
1.05,0.0,0.0,-1.62745530156929,0.0,0.0,-3.1717111116690027,9.512842919555311,-0.28964547376076216,0.13645071188712404,-0.400475945683163,0.6464725055763039,1.0,1.0,0.1,0.4858900223052152
1.06,0.0,0.0,-1.6595207311123583,0.0,0.0,-3.206542954306827,9.490223604326314,-0.2869548282033827,0.13427655222284302,-0.4022172409798949,0.6449353451801776,1.0,1.0,0.1,0.47974138072071004
1.07,0.0,0.0,-1.6919360188242338,0.0,0.0,-3.241528771187545,9.46712746789232,-0.28420746311917877,0.13205656069227972,-0.4039952432464547,0.6433657810324376,1.0,1.0,0.1,0.4734631241297504
1.08,0.0,0.0,-1.7247027375941917,0.0,0.0,-3.2766718769957768,9.443534128765233,-0.28140095405984805,0.12978877823483154,-0.40581152150422994,0.6417624280506444,1.0,1.0,0.1,0.46704971220257785
1.09,0.0,0.0,-1.7578224949225554,0.0,0.0,-3.3119757328363693,9.419421623911107,-0.27853268844675494,0.12747109377233218,-0.4076677665262317,0.6401237936738774,1.0,1.0,0.1,0.4604951746955096
1.1,0.0,0.0,-1.7912969345022405,0.0,0.0,-3.347443957968505,9.394766230179622,-0.27559984432935164,0.12510122704492405,-0.40956580458392966,0.6384482657274633,1.0,1.0,0.1,0.453793062909853
1.11,0.0,0.0,-1.8251308974972997,0.0,0.0,-3.3833962995059217,9.322148769387498,-0.26523284273192205,0.12723215238681185,-0.407859135871196,0.6335133380487595,0.9871169583559866,1.0,0.1,0.4469363938390516
1.12,0.0,0.0,-1.859329881931735,0.0,0.0,-3.419898443443533,9.239678409358348,-0.25335962981903226,0.13017703836483924,-0.40550056203359036,0.6279088283627826,0.9717437902594463,1.0,0.1,0.4398915231916839
1.1300000000000001,0.0,0.0,-1.8938995444924904,0.0,0.0,-3.456966256075533,9.15482810519998,-0.24114377764329747,0.1332069083794603,-0.4030739240580793,0.6221425827522922,0.9559269805788768,1.0,0.1,0.43264335043029184
1.1400000000000001,0.0,0.0,-1.928845710061015,0.0,0.0,-3.4946165568524594,9.067454883461062,-0.22856470239463106,0.1363268677862468,-0.4005751330399743,0.6162048850466233,0.9396398778615628,1.0,0.1,0.42517966232493043
1.1500000000000001,0.0,0.0,-1.9641743822362063,0.0,0.0,-3.532867217519132,8.977400899999125,-0.21559967933762625,0.13954255294960527,-0.39799967478696774,0.6100850084946738,0.9228530586330053,1.0,0.1,0.4174869753456898
1.16,0.0,0.0,-1.9998917550006479,0.0,0.0,-3.571737276444143,8.884491161248379,-0.2022235147437207,0.14286021261269571,-0.3953425446495605,0.6037710609071273,0.9055339026220943,1.0,0.1,0.4095503410064148
1.17,0.0,0.0,-2.036004225713477,0.0,0.0,-3.611247071282894,8.788530774187363,-0.18840814997053423,0.14628680609673256,-0.3925981688727526,0.5972497977701232,0.8876460801319708,1.0,0.1,0.40135311094852216
1.18,0.0,0.0,-2.072518409652981,0.0,0.0,-3.651418393950393,8.689301599875199,-0.1741221796733009,0.1498301227979067,-0.38976030889036434,0.590506394826721,0.8691489282310625,1.0,0.1,0.3928766510758212
1.19,0.0,0.0,-2.109441156382877,0.0,0.0,-3.6922746729896163,8.586558144116472,-0.15933026018612717,0.15349892892523537,-0.38682194380196083,0.5835241688152546,0.849996684738491,1.0,0.1,0.3840999905225276
1.2,0.0,0.0,-2.146779568282046,0.0,0.0,-3.7338411899168635,8.48002246091291,-0.1439923757746977,0.1573031494902341,-0.3837751246164189,0.5762842311187841,0.8301375381846354,1.0,0.1,0.374999386290501
1.21,0.0,0.0,-2.184541021663756,0.0,0.0,-3.776145338171018,8.369377761876844,-0.12806291858700725,0.1612540965046425,-0.380610791487232,0.5687650534744713,0.8095124365521065,1.0,0.1,0.3655477773457787
1.22,0.0,0.0,-2.2227331910251213,0.0,0.0,-3.8192169361365527,8.254260305169776,-0.1114895209082501,0.1653647586135868,-0.3773185417438694,0.5609419167631516,0.7880535753057337,1.0,0.1,0.3557140917468728
1.23,0.0,0.0,-2.261369993731833,0.0,0.0,-3.863680270671155,8.045499819809658,-0.10476856923926081,0.16111964127505024,-0.36705418557826264,0.5467549996472754,0.7656824522427264,0.975875191081243,0.1,0.34546235526513225
